#rho0,E/A
1.555987206916051580e-01,-1.570317535745187598e+01
1.574901231071903773e-01,-1.571374528692950001e+01
1.556267667325144932e-01,-1.570515259285436471e+01
1.551520649915055783e-01,-1.576542267708971146e+01
1.550462803116394173e-01,-1.568997257076108909e+01
1.575649616420178312e-01,-1.575631447037194732e+01
1.579685404592046372e-01,-1.578956608840569409e+01
1.567774409933629931e-01,-1.572513943760090704e+01
1.564070961026567952e-01,-1.577170633516569254e+01
1.567554550034289951e-01,-1.573610385120394106e+01
1.550312849547162142e-01,-1.572263113226471987e+01
1.559371860547862920e-01,-1.577014780258269866e+01
1.563673245896689268e-01,-1.576577208390490270e+01
1.562353139508397548e-01,-1.572994028751376661e+01
1.557068574936958383e-01,-1.572753026881274785e+01
1.584651939121821396e-01,-1.572395905408837002e+01
1.555869013983864069e-01,-1.574098814734115415e+01
1.569407944148488721e-01,-1.576693905885415070e+01
1.550151072556493481e-01,-1.572234767239599584e+01
1.551155434492186014e-01,-1.573620019218370025e+01
1.568998177137923555e-01,-1.573242167627908294e+01
1.563492893698596453e-01,-1.577244823281852071e+01
1.573109011064746099e-01,-1.578699975822154755e+01
1.555227360427905436e-01,-1.577172957396340003e+01
1.553150661075728134e-01,-1.573388177545675859e+01
1.573957312999565150e-01,-1.576871466628584173e+01
1.571332661104638262e-01,-1.570310782949367656e+01
1.560890558081607371e-01,-1.575837687508083640e+01
1.571398450225723609e-01,-1.570523989433392664e+01
1.555230910171855607e-01,-1.574480701470631949e+01
1.576854520291274264e-01,-1.582478708062015826e+01
1.573454804825031583e-01,-1.573771752770189813e+01
1.562491733634302771e-01,-1.573405608994288229e+01
1.577907736067706290e-01,-1.576156204649650938e+01
1.559099949074570501e-01,-1.573121355320647297e+01
1.576553308820499988e-01,-1.577172407405136134e+01
1.555847405069825662e-01,-1.573464699395728417e+01
1.560998620662038261e-01,-1.574407461135309028e+01
1.553943744655883474e-01,-1.572948701448835074e+01
1.572545368147255929e-01,-1.575195750641678849e+01
1.559233174029406588e-01,-1.570826839789661555e+01
1.566653831202838854e-01,-1.572821208339729715e+01
1.570079049495039514e-01,-1.576052858344181828e+01
1.560966317376671353e-01,-1.574596633336673079e+01
1.551474791041973222e-01,-1.577205386547337795e+01
1.570798869270480513e-01,-1.576013655738700692e+01
1.551973195419127372e-01,-1.570370885592710053e+01
1.569671335671873336e-01,-1.570983437187036280e+01
1.554710503254476128e-01,-1.572731568065763597e+01
1.571834033616761606e-01,-1.580425716554003834e+01
1.565630880467308583e-01,-1.577323226599494177e+01
1.550583792470711098e-01,-1.573211365323994215e+01
1.555259322701488534e-01,-1.573209025351779999e+01
1.552675420003723217e-01,-1.572617036525838863e+01
1.553272058506114384e-01,-1.575195387432021299e+01
1.552746406635509557e-01,-1.574398123785359438e+01
1.554254633651657447e-01,-1.575417135422326353e+01
1.559185854004110638e-01,-1.576675441690563595e+01
1.572848530783492738e-01,-1.570287776353399600e+01
1.572820539853212463e-01,-1.572782995613020596e+01
1.550075894639215413e-01,-1.572174007529960704e+01
1.556084204216869049e-01,-1.578081122492326926e+01
1.555479386011271170e-01,-1.572699970807681602e+01
1.567912037160179017e-01,-1.573799000670904036e+01
1.569825530732947283e-01,-1.576144546981674210e+01
1.555691981370139476e-01,-1.576828246287940694e+01
1.554157033730642068e-01,-1.572046468229234151e+01
1.565014683188151734e-01,-1.577089120838433978e+01
1.563190786482942241e-01,-1.575594732975959644e+01
1.567655477325141655e-01,-1.582612550790463857e+01
